NazwaInstytucji,SymbolLiterowy
Bank Spółdzielczy w Kadzidle,BS8916
Bank Spółdzielczy w Krasnosielcu z siedzibą w Makowie Mazowieckim,BS8917
Kurpiowski Bank Spółdzielczy w Myszyńcu,KBSM
Bank Spółdzielczy w Ostrowi Mazowieckiej,BS8923
Bank Spółdzielczy w Przasnyszu,BS8924
Bank Spółdzielczy w Różanie,BS8925
Bank Spółdzielczy w Wąsewie,BS8930
Polski Bank Spółdzielczy w Wyszkowie,BS8931
Bank Spółdzielczy w Jastrowiu,BS8935
Nadnotecki Bank Spółdzielczy,BS8937
Bank Spółdzielczy w Łobżenicy,BS8938
Bank Spółdzielczy w Wysokiej,BS8940
Spółdzielczy Bank Ludowy w Złotowie,BS8941
Bank Spółdzielczy w Lipce,BS8943
Spółdzielczy Bank Ludowy w Zakrzewie,BS8944
Bank Spółdzielczy w Chodzieży,BS8945
Bank Spółdzielczy w Czarnkowie,BS8951
Pałucki Bank Spółdzielczy w Wągrowcu,BS8959
Bank Spółdzielczy w Wieleniu,BS8960
Bank Spółdzielczy we Wronkach,BS8961
Bank Spółdzielczy Ziemi Piotrkowskiej w Piotrkowie Trybunalskim,BS8973
ESBANK Bank Spółdzielczy,BS8980
Powiatowy Bank Spółdzielczy w Tomaszowie Mazowieckim,BS8985
Bank Spółdzielczy w Przedborzu,BS8988
Bank Spółdzielczy w Opocznie,BS8992
Bank Spółdzielczy w Małej Wsi,BS9006
Bank Spółdzielczy w Staroźrebach,BS9008
Bank Spółdzielczy w Iłowie,BS9010
Vistula Bank Spółdzielczy,BS9011
Bank Spółdzielczy w Gostyninie,BS9012
Bank Spółdzielczy w Gąbinie,BS9013
Bank Spółdzielczy Wspólna Praca w Kutnie,BS9021
Bank Spółdzielczy Ziemi Łęczyckiej w Łęczycy,BS9029
Bank Spółdzielczy w Starej Białej,BS9038
Bank Spółdzielczy MAZOWSZE w Płocku,BS9042
POZNAŃSKI BANK SPÓŁDZIELCZY,BS9043
Pobiedzisko - Gośliński Bank Spółdzielczy w Pobiedziskach,P-G BS
Gospodarczy Bank Spółdzielczy w Mosinie,BS9048
Ludowy Bank Spółdzielczy w Obornikach,BS9055
Bank Spółdzielczy w Nowym Tomyślu,BS9058
Bank Spółdzielczy w Grodzisku Wielkopolskim,BS9063
Bank Spółdzielczy w Gnieźnie,BS9065
Wielkopolski Bank Spółdzielczy,BS9068
Bank Spółdzielczy Duszniki,BS9072
Bank Spółdzielczy w Kostrzynie,BS9075
Bank Spółdzielczy w Kórniku,BS9076
Nadobrzański Bank Spółdzielczy w Rakoniewicach,BS9081
Bank Spółdzielczy Pojezierza Międzychodzko - Sierakowskiego w Sierakowie,BS9082
Spółdzielczy Bank Ludowy im.Ks.P.Wawrzyniaka,BS9084
BANK SPÓŁDZIELCZY w Środzie Wielkopolskiej,BS9085
Bank Spółdzielczy w Chłopicach,BS9091
Bank Spółdzielczy w Dynowie,BS9093
Bank Spółdzielczy w Jarosławiu,BS9096
Bank Spółdzielczy w Lubaczowie,BS9101
Bank Spółdzielczy w Narolu,BS9103
Bank Spółdzielczy w Przeworsku,BS9106
Bank Spółdzielczy w Radymnie,BS9107
Bank Spółdzielczy w Żurawicy,BS9113
Bank Spółdzielczy Rzemiosła w Radomiu,BS9115
Bank Spółdzielczy im.Stefczyka w Belsku Dużym,BS9116
Bank Spółdzielczy w Białobrzegach,BS9117
Bank Spółdzielczy w Chynowie,BS9121
Bank Spółdzielczy w Głowaczowie,BS9125
Bank Spółdzielczy w Grójcu,BS9128
Bank Spółdzielczy w Iłży,BS9129
Bank Spółdzielczy w Jasieńcu,BS9130
Południowo-Mazowiecki Bank Spółdzielczy w Jedlińsku,BS9132
Bank Spółdzielczy w Lipsku,BS9135
Bank Spółdzielczy w Pionkach,BS9141
Bank Spółdzielczy w Przysusze,BS9145
Bank Spółdzielczy w Radomiu,BS9147
Bank Spółdzielczy w Skaryszewie,BS9150
Bank Spółdzielczy w Warce,BS9154
Bank Spółdzielczy w Zwoleniu,BS9157
Bank Spółdzielczy w Błażowej,BS9158
Bank Spółdzielczy w Głogowie Małopolskim,BS9159
Bank Spółdzielczy w Lubeni,BS9161
Bank Spółdzielczy w Rzeszowie,BS9162
Bank Spółdzielczy w Niechobrzu,BS9163
Bank Spółdzielczy w Tyczynie,BS9164
Bank Spółdzielczy w Strzyżowie,BS9168
Bank Spółdzielczy w Ropczycach,BS9171
Bank Spółdzielczy w Sędziszowie Młp.,BS9172
Bank Spółdzielczy w Wielopolu Skrzyńskim,BS9173
Bank Spółdzielczy w Żołyni,BS9175
EXPRESS BANK SPÓŁDZIELCZY,BS9176
Bank Spółdzielczy w Łańcucie,BS9177
Bank Spółdzielczy w Kolbuszowej,BS9180
Bank Spółdzielczy w Sokołowie Małopolskim,BS9182
Bank Spółdzielczy w Mielcu,BS9183
Bank Spółdzielczy w Przecławiu,BS9184
Bank Spółdzielczy w Leżajsku,BS9187
Bank Spółdzielczy w Jasionce,BS9191
Bank Spółdzielczy w Mokobodach,BS9193
Bank Spółdzielczy w Siedlcach,BS9194
Międzygminny Bank Spółdzielczy w Zbuczynie,BS9198
Bank Spółdzielczy w Adamowie,BS9202
Bank Spółdzielczy w Krzywdzie,BS9203
Bank Spółdzielczy w Łukowie,BS9204
Bank Spółdzielczy w Trzebieszowie,BS9206
Bank Spółdzielczy w Garwolinie,BS9210
Bank Spółdzielczy w Łaskarzewie,BS9217
Powiatowy Bank Spółdzielczy w Sokołowie Podlaskim,BS9221
Bank Spółdzielczy w Kałuszynie,BS9224
Bank Spółdzielczy w Mińsku Mazowieckim,BS9226
Bank Spółdzielczy w Łochowie,BS9233
Powiatowy Bank Spółdzielczy w Węgrowie,BS9236
Bank Spółdzielczy Ziemi Wieluńskiej,BS9244
Bank Spółdzielczy w Błaszkach,BS9245
Nadwarciański Bank Spółdzielczy w Działoszynie,BS9251
Rejonowy Bank Spółdzielczy w Lututowie,BS9256
Bank Spółdzielczy w Poddębicach,BS9263
Bank Spółdzielczy w Ruścu,BS9264
Bank Spółdzielczy w Sieradzu,BS9267
Bank Spółdzielczy w Szadku,BS9269
Bank Spółdzielczy w Warcie,BS9270
Bank Spółdzielczy w Wartkowicach,BS9271
Ludowy Bank Spółdzielczy w Zduńskiej Woli,BS9279
Bank Spółdzielczy w Sochaczewie,BS9283
Bank Spółdzielczy w Teresinie,BS9284
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,BS9288
Bank Spółdzielczy w Białej Rawskiej,BS9291
Bank Spółdzielczy w Skierniewicach,BS9297
Bank Spółdzielczy w Mszczonowie,BS9302
Bank Spółdzielczy w Ustce,BS9315
Bank Spółdzielczy w Sławnie,BS9317
Bank Spółdzielczy w Bytowie,BS9321
Bank Spółdzielczy w Człuchowie,BS9326
Bank Spółdzielczy w Ełku,BS9331
Bank Spółdzielczy w Bargłowie Kościelnym,BS9334
Bank Spółdzielczy w Olecku,BS9339
Mazurski Bank Spółdzielczy w Giżycku,BS9343
Bank Spółdzielczy w Węgorzewie,BS9348
Bank Spółdzielczy w Augustowie,BS9351
Bank Spółdzielczy w Sejnach,BS9354
Bank Spółdzielczy w Suwałkach,BS9359
Warmińsko - Mazurski Bank Spółdzielczy,WMBS
Bank Spółdzielczy w Rutce-Tartak,BS9367
Bank Spółdzielczy w Chojnie,BS9370
Bank Spółdzielczy w Goleniowie,BS9375
Bank Spółdzielczy w Gryficach,BS9376
Pyrzycko-Stargardzki Bank Spółdzielczy,BS9387
Bank Spółdzielczy w Wolinie,BS9393
Bank Spółdzielczy w Grębowie,BS9407
Bank Spółdzielczy w Janowie Lubelskim,BS9410
Bank Spółdzielczy w Ożarowie,BS9423
Bank Spółdzielczy w Połańcu,BS9425
Bank Spółdzielczy w Sandomierzu,BS9429
Nadsański Bank Spółdzielczy,BS9430
Bank Spółdzielczy w Staszowie,BS9431
Bank Spółdzielczy w Tarnobrzegu,BS9434
Bank Spółdzielczy w Zaleszanach,BS9439
Bank Spółdzielczy w Brzesku,BS9453
Bank Spółdzielczy w Dąbrowie Tarnowskiej,BS9462
Bank Spółdzielczy w Szczucinie,BS9464
